index,name,platform,rating,release_year
3252,Mario's Picross,GB,NaN,NaN
3253,Pac-Man Player's Choice Bundle,GC,NaN,NaN
3254,Fighters MEGAMiX,SAT,T,1997
3255,Bahamut Lagoon,SNES,NaN,1996
3260,Toshochu: Run for Money,3DS,NaN,NaN
3261,Dragon Quest Monsters: Joker 2 Professional,DS,NaN,2011
3263,Super Robot Taisen α Gaiden,PS,NaN,NaN
3268,Formula 1: Championship Edition,PS3,E,1997
3275,SingStar Singalong With Disney,PS2,NaN,2008
3282,2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,NaN,NaN
3295,Ganbaru Watashi no Kakei Diary,DS,NaN,NaN
3297,Small Soldiers,PS,T,1998
3310,Petz: Dogz Pack,DS,NaN,2008
3332,MonHun Nikki: Poka Poka Ailu Mura,PSP,NaN,NaN
3338,Suikoden,PS,E,1996
3345,Puyo Puyo Sun,SAT,NaN,1997
3353,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",X360,NaN,NaN
3354,From TV Animation One Piece: Grand Battle 2,PS,NaN,2002
3355,BeatMania Append 3rdMix,PS,NaN,NaN
3358, Frozen: Olaf's Quest,3DS,NaN,NaN
3362,New Play Control! Pikmin 2,Wii,NaN,NaN
3367,New Play Control! Donkey Kong Jungle Beat,Wii,NaN,NaN
3373,Dai-2-Ji Super Robot Taisen α,PS2,NaN,NaN
3380,Dai-3-Ji Super Robot Taisen α: Shuuen no Ginga e,PS2,NaN,NaN
3382,Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,PS,NaN,NaN
3385,CyberTiger,PS,E,1999
3386,Jampack Fall 2001,PS,NaN,NaN
3390,Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PS,NaN,NaN
3394,BurgerTime,2600,NaN,1983
3398,Smurf: Rescue In Gargamel's Castle,2600,NaN,NaN
3402,Extreme-G,N64,E,1997
3405,Spelling Challenges and more!,DS,NaN,NaN
3407,Tales of Rebirth,PS2,NaN,2004
3418,Backyard NBA Basketball,PS2,NaN,NaN
3431,Tokimeki Memorial: Forever with You,PS,NaN,1995
3440,Disney Sing It! High School Musical 3: Senior Year,Wii,E,2009
3444,Jeopardy!,Wii,NaN,NaN
3445,"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",X360,NaN,NaN
3447,Sammy Sosa High Heat Baseball 2001,PS,E,2000
3456,FIFA: Road to  World Cup 98,N64,NaN,1997
3464,Xenosaga Episode II: Jenseits von Gut und Böse,PS2,NaN,NaN
3466,Shrek 2: Beg for Mercy,GBA,E,2004
3471,Dragon Ball Z: Chou Saiya Densetsu,SNES,NaN,NaN
3474,Fire Emblem: Seisen no Keifu,SNES,NaN,1996
3478,Go Diego Go! Great Dinosaur Rescue,Wii,E,2008
3485,London 2012: The Official Video Game of the Olympic Games,X360,NaN,NaN
3496,Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,PS,NaN,NaN
3501,Beyond The Beyond,PS,E,1996
3507,Mega Man Star Force 2: Zerker x Ninja / Saurian,DS,NaN,NaN
3510,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",Wii,NaN,NaN
3513,The Mysterious Murasame Castle,NES,NaN,NaN
3523,Jampack Summer 2002,PS2,NaN,NaN
3532,SD Gundam G Generation Neo,PS2,NaN,NaN
3542,Bob the Builder: Can We Fix It?,PS,NaN,NaN
3578,Backyard NFL Football,GBA,NaN,NaN
3579,Minecraft: Story Mode,XOne,NaN,2015
3590,Hamtaro: Ham-Hams Unite!,GB,NaN,NaN
3593,Yokai Sangokushi,3DS,NaN,NaN
3601,Fatal Fury Special,SNES,E,1995
